日期,開盤,最高,最低,收盤,MA10,MA20,均線狀態,多方追蹤中缺口數,空方追蹤中缺口數,候選State,候選總持股比例,當日事件
2026-02-05,32241.64,32241.64,31769.08,31801.27,32165.83,31638.73,中性,5,0,0,100%,
2026-02-06,31746.44,31842.62,31164.28,31782.92,32147.97,31713.42,中性,5,0,0,100%,
2026-02-09,31956.21,32666.05,31956.21,32404.62,32181.98,31805.29,多方確認,6,0,0,100%,"向上缺口(第6個,下緣31843)；均線多方確認(新)"
2026-02-10,32439.71,33072.97,32439.71,33072.97,32257.48,31923.58,多方確認,6,0,0,100%,
2026-02-11,33086.15,33707.83,33071.67,33605.71,32337.67,32056.77,多方確認,6,0,0,100%,
2026-02-23,33663.02,34212.38,33663.02,33773.26,32461.37,32204.91,多方確認,6,0,0,100%,
2026-02-24,34020.71,34786.42,33987.51,34700.82,32725.08,32369.51,多方確認,6,0,0,100%,
2026-02-25,34753.31,35521.54,34753.31,35413.07,33103.98,32558.2,多方確認,6,0,0,100%,
2026-02-26,35457.76,35579.34,35171.52,35414.49,33425.89,32740.93,多方確認,6,0,0,100%,
2026-03-02,35277.48,35345.72,34605.36,35095.09,33706.42,32933.36,多方確認,6,0,0,100%,
2026-03-03,35106.22,35264.59,34323.65,34323.65,33958.66,33062.24,多方確認,6,0,0,100%,
2026-03-04,34228.75,34228.75,32828.88,32828.88,34063.26,33105.61,空方確認,0,1,2,60%,"向下缺口(第1個,上緣34324)；候選:第一次減碼觸發 → State1；均線空方確認(新)；候選:均線空方確認觸發減碼 → State2"
2026-03-05,33620.74,34319.68,33472.91,33672.94,34190.09,33186.03,中性,0,1,2,60%,
2026-03-06,33483.94,33829.49,33322.52,33599.54,34242.74,33250.11,中性,0,1,2,60%,
2026-03-09,32354.61,32354.61,31529.36,32110.42,34093.22,33215.44,空方確認,0,2,2,60%,"向下缺口(第2個,上緣33323)；候選:第二次減碼觸發(第二個同向缺口) → State2；均線空方確認(新)；候選:均線空方確認觸發減碼 → State2"
2026-03-10,32692.37,33256.69,32455.2,32771.87,33993.08,33227.22,空方確認,1,0,2,60%,"向上缺口(第1個,下緣32355)"
2026-03-11,33128.49,34218.66,33128.49,34114.19,33934.41,33329.75,多方確認,1,0,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-03-12,33816.15,34019.48,33458.64,33581.86,33751.29,33427.64,中性,1,0,1,80%,
2026-03-13,33215.78,33639.18,33013.46,33400.32,33549.88,33487.88,空方確認,1,0,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-03-16,33541.25,33765.81,33278.06,33342.51,33374.62,33540.52,空方確認,1,0,2,60%,
2026-03-17,33380.84,34008.7,33380.84,33836.57,33325.91,33642.29,多方確認,1,0,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-03-18,33929.28,34423.66,33929.28,34348.58,33477.88,33770.57,多方確認,1,0,1,80%,
2026-03-19,34279.12,34279.12,33663.78,33689.68,33479.55,33834.82,中性,1,0,1,80%,
2026-03-20,33719.85,33989.18,33379.24,33543.88,33473.99,33858.37,中性,1,0,1,80%,
2026-03-23,33334.0,33334.0,32461.09,32722.5,33535.2,33814.21,空方確認,0,1,2,60%,"向下缺口(第1個,上緣33379)；候選:第一次減碼觸發 → State2；均線空方確認(新)；候選:均線空方確認觸發減碼 → State2"
2026-03-24,33062.89,33361.46,32434.54,32612.24,33519.23,33756.15,空方確認,0,1,2,60%,
2026-03-25,32725.27,33705.75,32725.27,33439.11,33451.72,33693.07,空方確認,0,0,1,80%,向下缺口回補(趨勢失敗)；候選:棘輪回升一階 → State1
2026-03-26,33575.6,33892.56,33337.62,33337.62,33427.3,33589.3,空方確認,0,0,1,80%,
2026-03-27,33267.25,33267.25,32669.39,33112.59,33398.53,33474.2,空方確認,0,1,2,60%,"向下缺口(第1個,上緣33338)；候選:第一次減碼觸發 → State2"
2026-03-30,33009.68,33009.68,32326.37,32518.16,33316.09,33345.36,空方確認,0,1,2,60%,
2026-03-31,32419.0,32453.38,31705.99,31722.99,33104.73,33215.32,空方確認,0,1,2,60%,
2026-04-01,31892.33,33182.22,31892.33,33174.82,32987.36,33232.62,中性,0,1,2,60%,
2026-04-02,33218.02,33497.58,32516.94,32572.43,32875.63,33177.59,空方確認,0,1,2,60%,均線空方確認(新)；候選:均線空方確認觸發減碼 → State2
2026-04-07,32671.52,33264.22,32671.52,33229.82,32844.23,33159.11,多方確認,0,1,1,80%,均線多方確認(新)；候選:均線多方確認回補一階 → State1
2026-04-08,33379.5,34761.38,33379.5,34761.38,33048.12,33291.66,多方確認,1,0,1,80%,"向上缺口(第1個,下緣33264)"
2026-04-09,34779.96,34884.45,34617.34,34861.16,33273.01,33396.12,多方確認,1,0,1,80%,
2026-04-10,34950.87,35417.83,34950.87,35417.83,33470.88,33461.3,多方確認,2,0,1,80%,"向上缺口(第2個,下緣34884)"
2026-04-13,35422.91,35552.49,35261.73,35457.29,33682.85,33555.07,多方確認,2,0,1,80%,
2026-04-14,35584.09,36341.44,35584.09,36296.12,34001.2,33699.86,多方確認,3,0,1,80%,"向上缺口(第3個,下緣35552)"
2026-04-15,36369.11,37064.16,36369.11,36722.14,34421.6,33868.85,多方確認,4,0,1,80%,"向上缺口(第4個,下緣36341)"
2026-04-16,36759.53,37135.55,36751.09,37132.02,34962.5,34033.62,多方確認,4,0,1,80%,
2026-04-17,37145.66,37145.66,36776.28,36804.34,35325.45,34156.41,多方確認,4,0,1,80%,
2026-04-20,36850.24,37344.5,36850.24,36958.8,35764.09,34319.86,多方確認,4,0,1,80%,
2026-04-21,37051.25,37781.83,37051.25,37605.11,36201.62,34522.92,多方確認,4,0,1,80%,
2026-04-22,37627.2,38096.88,37623.38,37878.47,36513.33,34780.72,多方確認,4,0,1,80%,
2026-04-23,37971.69,38921.95,37164.44,37714.15,36798.63,35035.82,多方確認,4,0,1,80%,
2026-04-24,37862.65,38989.94,37862.65,38932.4,37150.08,35310.48,多方確認,4,0,1,80%,
